,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Battery ID
248,251,1943.84,638.0,3.985,3.467,4198.712,5120.31,8592.59,862,1
249,252,1942.44,636.0,3.984,3.468,4196.313,5120.31,8568.91,861,1
250,253,1941.44,636.0,3.984,3.468,4190.282,5120.28,8556.66,860,1
251,254,1940.31,636.0319999999999,3.984,3.467,4184.313,5120.31,8569.16,859,1
252,255,1938.59,634.4,3.984,3.467,4184.25,5120.25,8534.22,858,1
253,256,1937.28,632.4,3.984,3.468,4177.206,5120.41,8578.84,857,1
254,257,1935.62,632.8,3.983,3.468,4169.944,5120.34,8583.72,856,1
255,258,1932.0,634.0,3.983,3.47,4166.375,5084.38,8580.88,855,1
256,259,1928.62,624.0,3.991,3.7089999999999996,4102.375,5061.0,8671.06,854,1
257,260,1936.42,628.0,3.977,3.787,4061.952,5012.35,8612.35,853,1
258,261,1936.8,628.8,3.9789999999999996,3.472,4169.856,5084.26,8606.98,852,1
259,262,1939.39,633.6,3.9819999999999998,3.471,4169.918,5084.32,8613.47,851,1
260,263,1937.95,633.6,3.9819999999999998,3.469,4177.054,5120.25,8611.84,850,1
261,264,1934.85,630.0,3.9819999999999998,3.469,4172.32,5084.32,8576.74,849,1
262,265,1934.24,630.0,3.9819999999999998,3.471,4166.227,5084.23,8597.22,848,1
263,266,1932.0,628.0,3.9819999999999998,3.47,4162.72,5084.32,8594.79,847,1
264,267,1930.66,628.0,3.9810000000000003,3.47,4155.5509999999995,5084.35,8607.04,846,1
265,268,1927.2,626.4,3.98,3.471,4148.351,5084.35,8560.48,845,1
266,269,1926.2,626.4,3.9810000000000003,3.471,4141.151,5084.35,8581.86,844,1
267,270,1923.91,624.8,3.98,3.4730000000000003,4136.25,5048.25,8543.45,843,1
268,271,1922.37,624.8,3.98,3.471,4133.889,5048.29,8566.4,842,1
269,272,1921.02,622.0,3.98,3.471,4124.352,5048.35,8548.57,841,1
270,273,1919.56,622.0,3.98,3.472,4119.544,5048.34,8567.36,840,1
271,274,1918.12,623.2,3.98,3.4730000000000003,4118.36,5048.36,8553.19,839,1
272,275,1916.39,619.2124,3.98,3.4730000000000003,4112.36,5048.36,8557.92,838,1
273,276,1914.77,620.0,3.9789999999999996,3.4730000000000003,4106.235,5048.23,8537.67,837,1
274,277,1913.31,621.6,3.98,3.4739999999999998,4105.113,5012.31,8547.91,836,1
275,278,1912.0,617.6,3.9789999999999996,3.4730000000000003,4097.944,5012.34,8552.03,835,1
276,279,1910.05,620.0,3.9789999999999996,3.4739999999999998,4090.744,5012.34,8519.27,834,1
277,280,1908.97,620.0,3.9789999999999996,3.475,4088.343,5012.34,8513.31,833,1
278,281,1908.06,616.0,3.9789999999999996,3.475,4085.7,5014.5,8529.51,832,1
279,282,1906.72,616.0,3.9789999999999996,3.475,4082.344,5012.34,8489.94,831,1
280,283,1904.0,609.5930000000001,3.987,3.7119999999999997,4011.203,4970.02,8630.66,830,1
281,284,1907.16,611.2,3.9760000000000004,3.7889999999999997,3982.712,4940.31,8589.75,829,1
282,285,1908.06,614.4,3.978,3.48,4076.312,5012.31,8566.0,828,1
283,286,1908.34,614.4,3.978,3.478,4076.343,5012.34,8534.06,827,1
284,287,1908.62,616.0,3.9789999999999996,3.477,4082.375,5012.38,8532.47,826,1
285,288,1907.03,616.0,3.9789999999999996,3.4760000000000004,4076.313,5012.31,8545.47,825,1
286,289,1903.66,614.4,3.9789999999999996,3.4760000000000004,4070.344,5012.34,8523.25,824,1
287,290,1900.97,612.0,3.978,3.478,4061.9120000000003,4976.31,8496.94,823,1
288,291,1900.5,612.0,3.9789999999999996,3.478,4054.618,4976.22,8533.19,822,1
289,292,1898.62,608.0,3.9789999999999996,3.4789999999999996,4052.375,4976.38,8546.41,821,1
290,293,1896.72,608.8,3.9789999999999996,3.4789999999999996,4046.312,4976.31,8509.81,820,1
291,294,1895.94,608.8,3.978,3.4789999999999996,4040.375,4976.38,8536.88,819,1
292,295,1894.53,608.8,3.9789999999999996,3.4789999999999996,4034.375,4976.38,8510.03,818,1
293,296,1893.53,610.0,3.9789999999999996,3.4789999999999996,4033.0190000000002,4940.22,8541.72,817,1
294,297,1890.94,607.2,3.978,3.478,4025.975,4940.38,8508.56,816,1
295,298,1889.97,608.0,3.978,3.48,4018.7129999999997,4940.31,8522.81,815,1
296,299,1888.47,605.6,3.978,3.48,4016.343,4940.34,8492.47,814,1
297,300,1886.81,606.0,3.978,3.48,4011.575,4940.38,8492.09,813,1
298,301,1885.31,604.0213332999999,3.977,3.48,4010.375,4940.38,8464.12,812,1
299,302,1885.44,604.0,3.978,3.48,4004.375,4940.38,8518.72,811,1
300,303,1883.34,600.0,3.977,3.48,3998.344,4940.34,8517.88,810,1
301,304,1881.53,602.0,3.977,3.4810000000000003,3992.344,4904.34,8495.53,809,1
302,305,1879.31,598.4,3.977,3.4819999999999998,3989.975,4904.38,8457.62,808,1
303,306,1877.69,598.4,3.977,3.4819999999999998,3982.712,4904.31,8484.19,807,1
304,307,1873.94,595.188,3.984,3.714,3906.312,4865.0,8602.12,806,1
305,308,198748.44,192077.02300000002,4.266,3.29,66689.981,78255.55,78255.55,805,1
306,309,1912.74,604.0,3.9730000000000003,3.4739999999999998,4529.92,5552.32,9509.6,804,1
307,310,1919.26,614.0,3.977,3.486,4106.352,5012.35,8624.83,803,1
308,311,1918.98,614.0,3.977,3.484,4124.32,5048.32,8596.48,802,1
309,312,1916.86,613.6,3.978,3.484,4124.321,5048.32,8564.38,801,1
310,313,1915.1,612.0,3.978,3.485,4118.351,5048.35,8580.9,800,1
311,314,1911.9,613.6,3.978,3.485,4112.32,5048.32,8540.1,799,1
312,315,1909.73,608.0,3.978,3.485,4105.023,5012.22,8550.15,798,1
313,316,1906.81,609.6,3.978,3.485,4097.92,5012.32,8512.1,797,1
314,317,1903.68,606.0,3.978,3.485,4088.321,5012.32,8521.09,796,1
